Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month
ATTAWAPISKAT A,5.8,29.4,-9.3,,62.0,4.2,2021,May
BIG TROUT LAKE A,5.1,26.6,-9.2,,48.4,0.0,2021,May
BIG TROUT LAKE,5.2,26.8,-9.4,,48.1,0.0,2021,May
EAR FALLS (AUT),10.2,27.4,-3.0,,44.4,3.6,2021,May
FORT SEVERN A,1.5,22.6,-12.1,,44.6,0.0,2021,May
LANSDOWNE HOUSE A,7.8,30.6,-4.7,,32.6,3.2,2021,May
LANSDOWNE HOUSE (AUT),7.7,30.9,-4.9,,44.3,3.6,2021,May
MUSKRAT DAM,6.0,27.6,-6.0,,35.2,0.1,2021,May
PEAWANUCK (AUT),2.7,28.5,-15.6,,55.2,0.0,2021,May
PEAWANUCK A,2.7,28.5,-15.4,,55.1,0.0,2021,May
PICKLE LAKE (AUT),8.8,28.5,-2.4,,77.5,4.1,2021,May
PICKLE LAKE A,8.5,28.5,-2.5,,1.0,4.1,2021,May
RED LAKE A,9.4,26.7,-6.8,,,5.4,2021,May
SANDY LAKE A,6.4,24.0,-6.5,,17.7,0.0,2021,May
BARWICK,11.8,28.5,-5.5,0.0,24.2,14.2,2021,May
ATIKOKAN (AUT),10.4,29.2,-4.9,,50.1,9.2,2021,May
FORT FRANCES RCS,10.8,28.9,-6.0,,23.4,11.6,2021,May
MINE CENTRE SOUTHWEST,11.1,31.0,-5.0,0.0,46.5,11.3,2021,May
DRYDEN REGIONAL,11.0,27.5,-2.6,,43.5,7.1,2021,May
KENORA RCS,11.0,27.7,-1.2,,29.5,7.0,2021,May
KENORA A,12.0,27.7,-1.4,0.0,38.7,6.5,2021,May
RAWSON LAKE,8.7,22.5,-2.0,0.0,36.4,0.0,2021,May
RAWSON LAKE (AUT),10.9,27.8,-1.9,,54.8,6.4,2021,May
ROYAL ISLAND (AUT),12.5,28.7,1.1,,53.2,9.6,2021,May
SIOUX LOOKOUT A,9.9,28.7,-5.9,0.0,79.9,4.8,2021,May
SIOUX LOOKOUT AIRPORT,10.4,28.7,-5.4,,71.0,6.0,2021,May
ARMSTRONG (AUT),8.5,30.0,-5.5,,59.7,0.0,2021,May
ARMSTRONG A,8.3,30.1,-4.8,,79.8,0.3,2021,May
CAMERON FALLS (AUT),8.7,25.4,-2.6,,66.9,0.0,2021,May
CARIBOU ISLAND (AUT),6.4,15.8,1.5,,15.6,0.0,2021,May
GERALDTON A,8.8,29.7,-4.0,12.1,77.9,4.0,2021,May
GERALDTON A,8.8,29.7,-4.0,,,4.0,2021,May
GERALDTON AIRPORT,8.7,29.1,-4.1,,72.7,3.7,2021,May
HAZELWOOD,,,,0.0,67.4,,2021,May
MARATHON A,6.6,19.6,-5.0,,,0.0,2021,May
PUKASKWA (AUT),7.4,20.2,-3.2,,89.8,0.0,2021,May
TERRACE BAY AIRPORT,6.5,18.3,-5.8,,80.0,0.0,2021,May
THUNDER BAY,9.5,29.5,-3.7,,69.7,1.8,2021,May
THUNDER BAY A,9.4,29.5,-3.7,,,1.8,2021,May
THUNDER BAY CS,9.3,29.4,-4.6,,68.9,1.3,2021,May
UPSALA (AUT),9.7,27.1,-5.1,,74.3,5.3,2021,May
WELCOME ISLAND (AUT),8.4,19.1,1.2,,54.8,0.0,2021,May
LITTLE FLATLAND ISLAND (AUT),6.9,20.9,-1.4,,56.5,0.0,2021,May
NORTHERN ONTARIO EER,8.8,24.4,-2.9,,13.4,0.0,2021,May
