Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month,Fires_Ontario_Total
ATTAWAPISKAT A,12.6,28.3,0.2,,,2.9,2018,August,300.0
BIG TROUT LAKE A,14.7,28.2,1.5,,40.1,16.4,2018,August,300.0
BIG TROUT LAKE,14.3,28.4,1.0,,102.9,15.1,2018,August,300.0
EAR FALLS (AUT),18.7,33.2,6.2,,21.8,50.0,2018,August,300.0
FORT SEVERN A,11.6,20.7,2.5,,0.0,0.0,2018,August,300.0
LANSDOWNE HOUSE (AUT),15.1,29.1,1.2,,74.3,12.5,2018,August,300.0
MUSKRAT DAM,15.4,30.2,4.1,,95.1,18.9,2018,August,300.0
PEAWANUCK (AUT),13.2,29.0,-1.4,,101.6,9.0,2018,August,300.0
PICKLE LAKE (AUT),16.8,34.5,4.4,,31.3,44.6,2018,August,300.0
PICKLE LAKE A,,34.3,,,,,2018,August,300.0
RED LAKE A,,31.0,,,,,2018,August,300.0
BARWICK,18.6,32.5,5.0,0.0,70.6,45.3,2018,August,300.0
ATIKOKAN (AUT),17.9,32.2,5.2,,39.4,34.4,2018,August,300.0
FORT FRANCES RCS,16.9,31.7,0.9,,59.8,18.8,2018,August,300.0
MINE CENTRE SOUTHWEST,18.9,33.0,4.5,0.0,25.3,58.4,2018,August,300.0
DRYDEN REGIONAL,18.9,32.9,7.0,,36.6,63.8,2018,August,300.0
KENORA RCS,19.0,31.9,8.4,,40.5,65.2,2018,August,300.0
KENORA A,19.1,31.9,8.4,0.0,44.6,68.1,2018,August,300.0
RAWSON LAKE,16.5,28.0,7.0,0.0,16.5,22.0,2018,August,300.0
RAWSON LAKE (AUT),19.3,33.1,7.1,,36.3,61.3,2018,August,300.0
ROYAL ISLAND (AUT),20.7,32.1,10.3,,,87.6,2018,August,300.0
SIOUX LOOKOUT A,17.6,33.9,2.2,,,44.7,2018,August,300.0
ARMSTRONG (AUT),16.0,32.7,-0.8,,32.4,19.9,2018,August,300.0
CAMERON FALLS (AUT),16.8,29.5,6.6,,78.2,25.1,2018,August,300.0
CARIBOU ISLAND (AUT),16.3,21.6,8.8,,,1.3,2018,August,300.0
GERALDTON A,15.8,30.7,3.0,0.0,57.8,16.1,2018,August,300.0
HAZELWOOD,,,,0.0,43.6,,2018,August,300.0
PUKASKWA (AUT),15.4,27.0,4.0,,97.8,1.6,2018,August,300.0
TERRACE BAY AIRPORT,13.7,26.9,3.8,,114.2,0.7,2018,August,300.0
THUNDER BAY,17.1,31.1,4.6,,66.0,23.7,2018,August,300.0
THUNDER BAY BURWOOD,17.5,31.0,4.0,0.0,66.4,20.1,2018,August,300.0
THUNDER BAY CS,16.9,30.8,3.8,,60.7,20.7,2018,August,300.0
UPSALA (AUT),16.3,30.2,4.3,,55.5,21.8,2018,August,300.0
WELCOME ISLAND (AUT),17.1,26.2,9.7,,,16.7,2018,August,300.0
LITTLE FLATLAND ISLAND (AUT),18.1,28.4,9.6,,,33.1,2018,August,300.0
LAKE SUPERIOR PROVINCIAL PARK,16.6,28.2,1.9,,69.0,14.9,2018,August,300.0
SAULT STE MARIE A,18.7,30.5,5.2,0.0,127.0,45.5,2018,August,300.0
WAWA A,,25.1,,,,,2018,August,300.0
KILLARNEY (AUT),20.4,29.5,8.9,,,83.3,2018,August,300.0
CHAPLEAU A,,29.9,,,,,2018,August,300.0
MASSEY,19.8,31.0,1.0,0.0,73.2,69.0,2018,August,300.0
MONETVILLE 2,20.4,31.0,7.5,0.0,77.6,42.4,2018,August,300.0
SUDBURY CLIMATE,19.3,32.1,8.5,,93.1,54.3,2018,August,300.0
SUDBURY A,19.5,32.2,8.5,0.0,84.8,61.7,2018,August,300.0
BONNER LAKE,16.4,33.0,-1.0,0.0,88.1,31.4,2018,August,300.0
EARLTON A,18.0,31.4,3.6,,65.6,35.7,2018,August,300.0
EARLTON CLIMATE,18.0,31.6,3.6,,62.4,35.0,2018,August,300.0
KAPUSKASING A,16.4,32.6,-1.1,0.0,70.6,30.2,2018,August,300.0
KAPUSKASING CDA ON,16.6,32.6,-0.8,,57.9,33.8,2018,August,300.0
KIRKLAND LAKE CS,18.3,31.5,7.3,,64.4,43.4,2018,August,300.0
MOOSONEE,14.1,30.3,-0.9,,,14.1,2018,August,300.0
MOOSONEE UA,15.2,31.0,0.0,0.0,10.8,12.3,2018,August,300.0
